xrp     | trade_in_use 85.828 coin
[(10387685, 0.0998), (10318403, 0.09992000000000001), (10316484, 0.09992000000000001), (10305206, 0.009992000000000001), (10305019, 0.00998546), (10304867, 0.01665332), (9910816, 0.82852404), (9908787, 0.16760432328407088), (9907696, 0.017075873516126272)]
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,000/a:1,496,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/   850/-10200 Avg: 1493554/1491656 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,000/a:1,496,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/   850/-10200 Avg: 1493554/1491656 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/ -1600/-10200 Avg: 1493554/1492176 |  lat:   67 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,700/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7500/ -1500/     0 Avg: 1493560/1492259 |  lat:   94 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,650/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7500/ -1500/     0 Avg: 1493560/1492259 |  lat:   40 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,600/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7500/ -1500/     0 Avg: 1493560/1492259 |  lat:   58 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -3150/ -1500/     0 Avg: 1493555/1492259 |  lat:   41 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,490,050/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -6650/ -1500/     0 Avg: 1493566/1492259 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:51:34 | Price: p:1,496,450/b:1,490,050/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   6450/  1850/     0 Avg: 1493612/1492670 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:51:41 | Price: p:1,496,450/b:1,490,050/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   5450/  1850/     0 Avg: 1493647/1492864 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:51:51 | Price: p:1,490,050/b:1,490,050/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/ -4350/ -6400 Avg: 1493634/1492914 |  lat:   68 ms| bidding (0) | balance:170741  
2018-01-05 22:51:51 | Price: p:1,490,050/b:1,490,100/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/  3700/ -6400 Avg: 1493634/1492828 |  lat:  346 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,100/a:1,496,450/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -900/  3800/ -6350 Avg: 1493620/1492932 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,100/a:1,496,400/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -900/  3600/ -6350 Avg: 1493620/1493121 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,150/a:1,496,400/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/  3600/ -6350 Avg: 1493630/1493121 |  lat:   95 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,150/a:1,496,350/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/  3600/ -6350 Avg: 1493630/1493121 |  lat:   41 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,150/a:1,496,300/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/  3600/    50 Avg: 1493650/1493121 |  lat:   49 ms| bidding (0) | balance:170741  
2018-01-05 22:52:04 | Price: p:1,490,100/b:1,490,150/a:1,494,350/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   -950/ -2450/     0 Avg: 1493650/1493316 |  lat:   41 ms| bidding (0) | balance:170741  
