2017-12-22 10:43:25 | Price: p:1646/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2634 | 10Min: delta: -17 1645/1655/1667 |  tx: 484 lat:  119 ms| bidding (0) | balance:101428  
2017-12-22 10:43:30 | Price: p:1646/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2635 | 10Min: delta: -12 1645/1655/1667 |  tx: 484 lat:  125 ms| bidding (0) | balance:101428  
2017-12-22 10:43:33 | Price: p:1646/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2639 | 10Min: delta: -12 1645/1655/1667 |  tx: 488 lat:   65 ms| bidding (0) | balance:101428  
2017-12-22 10:43:37 | Price: p:1646/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2642 | 10Min: delta: -12 1645/1655/1667 |  tx: 492 lat:   56 ms| bidding (0) | balance:101428  
2017-12-22 10:43:39 | Price: p:1645/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1688/1760 tx: 2646 | 10Min: delta: -13 1645/1655/1667 |  tx: 496 lat:  139 ms| bidding (0) | balance:101428  
2017-12-22 10:43:41 | Price: p:1644/b:1644/a:1645/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2651 | 10Min: delta: -12 1644/1655/1667 |  tx: 501 lat:  133 ms| bidding (0) | balance:101428  
2017-12-22 10:43:43 | Price: p:1646/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2650 | 10Min: delta: -12 1644/1655/1667 |  tx: 501 lat:  133 ms| bidding (0) | balance:101428  
2017-12-22 10:43:46 | Price: p:1646/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2655 | 10Min: delta: -11 1644/1655/1667 |  tx: 504 lat:  126 ms| bidding (0) | balance:101428  
2017-12-22 10:43:47 | Price: p:1646/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2655 | 10Min: delta: -11 1644/1655/1667 |  tx: 504 lat:   61 ms| bidding (0) | balance:101428  
2017-12-22 10:43:51 | Price: p:1644/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -116 1623/1687/1760 tx: 2660 | 10Min: delta: -13 1644/1655/1667 |  tx: 508 lat:  133 ms| bidding (0) | balance:101428  
2017-12-22 10:43:52 | Price: p:1643/b:1643/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -117 1623/1687/1760 tx: 2663 | 10Min: delta: -14 1643/1655/1667 |  tx: 511 lat:   64 ms| bidding (0) | balance:101428  
2017-12-22 10:43:53 | Price: p:1646/b:1643/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2664 | 10Min: delta: -11 1643/1655/1667 |  tx: 512 lat:   60 ms| bidding (0) | balance:101428  
2017-12-22 10:43:55 | Price: p:1646/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2665 | 10Min: delta: -13 1643/1655/1667 |  tx: 512 lat:  121 ms| bidding (0) | balance:101428  
